PassengerId,Survived
892,0.0
893,0.0
894,0.0
895,0.0
896,1.0
897,0.0
898,1.0
899,0.0
900,1.0
901,0.0
902,0.0
903,1.0
904,0.0
905,1.0
906,1.0
907,0.0
908,0.0
909,1.0
910,0.0
911,0.0
912,0.0
913,1.0
914,1.0
915,0.0
916,1.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,1.0
923,0.0
924,1.0
925,0.0
926,0.0
927,0.0
928,1.0
929,1.0
930,0.0
931,0.0
932,1.0
933,0.0
934,1.0
935,0.0
936,1.0
937,1.0
938,0.0
939,0.0
940,0.0
941,1.0
942,0.0
943,0.0
944,0.0
945,1.0
946,1.0
947,1.0
948,0.0
949,1.0
950,1.0
951,1.0
952,0.0
953,1.0
954,1.0
955,1.0
956,1.0
957,1.0
958,0.0
959,1.0
960,0.0
961,0.0
962,0.0
963,1.0
964,1.0
965,1.0
966,1.0
967,1.0
968,1.0
969,0.0
970,1.0
971,0.0
972,1.0
973,0.0
974,1.0
975,0.0
976,0.0
977,1.0
978,0.0
979,0.0
980,0.0
981,0.0
982,1.0
983,1.0
984,1.0
985,0.0
986,1.0
987,1.0
988,1.0
989,1.0
990,1.0
991,0.0
992,1.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,1.0
1003,0.0
1004,0.0
1005,1.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,1.0
1013,0.0
1014,0.0
1015,0.0
1016,1.0
1017,1.0
1018,0.0
1019,1.0
1020,0.0
1021,1.0
1022,0.0
1023,1.0
1024,0.0
1025,0.0
1026,1.0
1027,0.0
1028,0.0
1029,0.0
1030,1.0
1031,1.0
1032,0.0
1033,1.0
1034,1.0
1035,0.0
1036,0.0
1037,1.0
1038,1.0
1039,0.0
1040,1.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,1.0
1049,1.0
1050,0.0
1051,0.0
1052,0.0
1053,1.0
1054,0.0
1055,1.0
1056,0.0
1057,1.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,1.0
1066,1.0
1067,0.0
1068,1.0
1069,0.0
1070,1.0
1071,0.0
1072,0.0
1073,0.0
1074,1.0
1075,1.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,1.0
1082,1.0
1083,1.0
1084,1.0
1085,0.0
1086,0.0
1087,1.0
1088,0.0
1089,1.0
1090,1.0
1091,0.0
1092,1.0
1093,0.0
1094,0.0
1095,0.0
1096,1.0
1097,0.0
1098,0.0
1099,0.0
1100,1.0
1101,1.0
1102,0.0
1103,0.0
1104,0.0
1105,1.0
1106,1.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,1.0
1112,0.0
1113,1.0
1114,1.0
1115,0.0
1116,1.0
1117,1.0
1118,0.0
1119,0.0
1120,0.0
1121,1.0
1122,1.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,1.0
1128,1.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,1.0
1135,1.0
1136,1.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,1.0
1145,1.0
1146,0.0
1147,1.0
1148,0.0
1149,0.0
1150,0.0
1151,1.0
1152,0.0
1153,1.0
1154,0.0
1155,1.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,1.0
1162,1.0
1163,0.0
1164,0.0
1165,0.0
1166,1.0
1167,1.0
1168,0.0
1169,0.0
1170,0.0
1171,1.0
1172,0.0
1173,1.0
1174,1.0
1175,0.0
1176,1.0
1177,1.0
1178,0.0
1179,1.0
1180,1.0
1181,1.0
1182,0.0
1183,0.0
1184,1.0
1185,0.0
1186,0.0
1187,1.0
1188,1.0
1189,1.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,1.0
1195,1.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,1.0
1201,1.0
1202,0.0
1203,0.0
1204,0.0
1205,1.0
1206,0.0
1207,1.0
1208,0.0
1209,0.0
1210,1.0
1211,0.0
1212,1.0
1213,1.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,1.0
1219,1.0
1220,1.0
1221,1.0
1222,0.0
1223,
1224,
1225,
1226,
1227,
1228,
1229,
1230,
1231,
1232,
1233,
1234,
1235,
1236,
1237,
1238,
1239,
1240,
1241,
1242,
1243,
1244,
1245,
1246,
1247,
1248,
1249,
1250,
1251,
1252,
1253,
1254,
1255,
1256,
1257,
1258,
1259,
1260,
1261,
1262,
1263,
1264,
1265,
1266,
1267,
1268,
1269,
1270,
1271,
1272,
1273,
1274,
1275,
1276,
1277,
1278,
1279,
1280,
1281,
1282,
1283,
1284,
1285,
1286,
1287,
1288,
1289,
1290,
1291,
1292,
1293,
1294,
1295,
1296,
1297,
1298,
1299,
1300,
1301,
1302,
1303,
1304,
1305,
1306,
1307,
1308,
1309,
